Row_ID,title,model,battery,price-range,0 - 100,Top Speed,Range*,Efficiency*,Fastcharge*,Germany_price_before_incentives,Netherlands_price_before_incentives,UK_price_after_incentives,Drive_Configuration,Tow_Hitch,Towing_capacity_in_kg,Number_of_seats,Estimated_US_Price
1,Tesla,Model 3,57.5,104,6.1,201,415,139,690,41970,41990,39990,Rear Wheel Drive,Towbar possible,1000,5,46888.1
2,Tesla,Model Y,57.5,137,6.9,217,350,164,580,45970,45990,44990,Rear Wheel Drive,Towbar possible,1600,5,51851.43333
3,Tesla,Model Y Long Range Dual Motor,75,130,5,217,435,172,670,55970,52990,52990,All Wheel Drive,Towbar possible,1600,5,61304.76667
4,Tesla,Model 3 Long Range Dual Motor,75,106,4.4,201,500,150,770,50970,49990,49990,All Wheel Drive,Towbar possible,1000,5,57174.76667
5,Tesla,Model Y Long Range RWD,75,109,5.9,217,460,163,710,49970,49990,42474.5,Rear Wheel Drive,Towbar possible,1600,5,53683.30833
6,Byd,ATTO 3,60.5,121,7.3,160,330,183,370,37990,38990,37195,Front Wheel Drive,No information/Not possible,0,5,43210.71667
7,Mg,MG4 Electric 64 kWh,61.7,102,7.9,160,360,171,630,39990,35785,29495,Rear Wheel Drive,Towbar possible,500,5,39568.58333
8,Byd,SEAL 82.5 kWh AWD Excellence,82.5,107,3.8,180,490,168,540,50990,50990,48695,All Wheel Drive,No information/Not possible,0,5,57002.38333
9,Tesla,Model Y Performance,75,152,3.8,250,415,181,640,60790,58990,59990,All Wheel Drive,Towbar possible,1600,5,68116.63333
10,Bmw,i4 eDrive40,80.7,122,5.7,190,515,157,800,59200,62992,57890,Rear Wheel Drive,Towbar possible,1600,5,68109.95333
11,Citroen,e-C3,44,90,11,135,265,166,340,23300,24290,19805,Front Wheel Drive,Towbar possible,550,5,25384.48333
12,Bmw,iX xDrive40,71,225,6.1,200,360,197,480,77300,84998,69905,All Wheel Drive,Towbar possible,2500,5,87554.36333
13,Volkswagen,ID.4 Pro,77,114,6.7,180,435,177,650,46335,49990,46035,Rear Wheel Drive,Towbar possible,1000,5,53858.25
14,Byd,DOLPHIN 60.4 kWh,60.5,101,7,160,340,178,340,32990,35490,30195,Front Wheel Drive,Towbar possible,0,5,37234.05
15,Volvo,EX30 Single Motor ER,64,118,5.3,180,360,178,600,41790,41495,38545,Rear Wheel Drive,Towbar possible,1400,5,46043.01667
16,Tesla,Model S Plaid,95,199,2.3,282,560,170,780,110970,108990,94324.5,All Wheel Drive,Towbar possible,1600,5,118487.475
17,Tesla,Model S Dual Motor,95,167,3.2,250,575,165,800,95970,93990,81574.5,All Wheel Drive,Towbar possible,1600,5,102374.975
18,Kia,Niro EV,64.8,111,7.8,167,385,168,390,45690,39995,37295,Front Wheel Drive,Towbar possible,750,5,46386.18333
19,Hyundai,Kona Electric 65 kWh,65.4,116,7.8,170,390,168,400,47190,43995,38595,Front Wheel Drive,Towbar possible,750,5,48907.85
